2018-04-30 04:29:12 startup archives unpack
2018-04-30 04:29:13 status half-installed libaprutil1-ldap:amd64 1.5.4-1
2018-04-30 04:29:13 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2018-04-30 04:29:13 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2018-04-30 04:29:13 install libnghttp2-14:amd64 <none> 1.18.1-1
2018-04-30 04:29:13 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:13 status half-installed libnghttp2-14:amd64 1.18.1-1
2018-04-30 04:29:13 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-04-30 04:29:13 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-04-30 04:29:13 trigproc libc-bin:amd64 2.19-18+deb8u10 <none>
2018-04-30 04:29:13 status half-configured libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:14 status installed libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 startup packages configure
2018-04-30 04:29:15 configure libssl1.0.0:amd64 1.0.2l-1~bpo8+1 <none>
2018-04-30 04:29:15 status unpacked libssl1.0.0:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:15 status half-configured libssl1.0.0:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:15 status installed libssl1.0.0:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:15 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 configure libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1 <none>
2018-04-30 04:29:15 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:15 status half-configured libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:15 status installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:15 configure libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1 <none>
2018-04-30 04:29:15 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:15 status half-configured libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:15 status installed libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:15 configure libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3 <none>
2018-04-30 04:29:15 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:15 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:15 status half-configured libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:15 status installed libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:15 configure libxml2:amd64 2.9.1+dfsg1-5+deb8u6 <none>
2018-04-30 04:29:15 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:15 status half-configured libxml2:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:15 status installed libxml2:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:15 configure libapr1:amd64 1.5.1-3 <none>
2018-04-30 04:29:15 status unpacked libapr1:amd64 1.5.1-3
2018-04-30 04:29:15 status half-configured libapr1:amd64 1.5.1-3
2018-04-30 04:29:15 status installed libapr1:amd64 1.5.1-3
2018-04-30 04:29:15 configure libexpat1:amd64 2.1.0-6+deb8u4 <none>
2018-04-30 04:29:15 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:15 status half-configured libexpat1:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:15 status installed libexpat1:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:15 configure libaprutil1:amd64 1.5.4-1 <none>
2018-04-30 04:29:15 status unpacked libaprutil1:amd64 1.5.4-1
2018-04-30 04:29:15 status half-configured libaprutil1:amd64 1.5.4-1
2018-04-30 04:29:15 status installed libaprutil1:amd64 1.5.4-1
2018-04-30 04:29:15 configure liblua5.2-0:amd64 5.2.3-1.1 <none>
2018-04-30 04:29:15 status unpacked liblua5.2-0:amd64 5.2.3-1.1
2018-04-30 04:29:15 status half-configured liblua5.2-0:amd64 5.2.3-1.1
2018-04-30 04:29:15 status installed liblua5.2-0:amd64 5.2.3-1.1
2018-04-30 04:29:15 configure libsctp1:amd64 1.0.16+dfsg-2 <none>
2018-04-30 04:29:15 status unpacked libsctp1:amd64 1.0.16+dfsg-2
2018-04-30 04:29:15 status half-configured libsctp1:amd64 1.0.16+dfsg-2
2018-04-30 04:29:15 status installed libsctp1:amd64 1.0.16+dfsg-2
2018-04-30 04:29:15 configure libpcre++0:amd64 0.9.5-6 <none>
2018-04-30 04:29:15 status unpacked libpcre++0:amd64 0.9.5-6
2018-04-30 04:29:15 status half-configured libpcre++0:amd64 0.9.5-6
2018-04-30 04:29:15 status installed libpcre++0:amd64 0.9.5-6
2018-04-30 04:29:15 configure libc-dev-bin:amd64 2.19-18+deb8u10 <none>
2018-04-30 04:29:15 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 status half-configured libc-dev-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 status installed libc-dev-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 configure linux-libc-dev:amd64 3.16.51-3+deb8u1 <none>
2018-04-30 04:29:15 status unpacked linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-04-30 04:29:15 status half-configured linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-04-30 04:29:15 status installed linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-04-30 04:29:15 configure libc6-dev:amd64 2.19-18+deb8u10 <none>
2018-04-30 04:29:15 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 status half-configured libc6-dev:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 status installed libc6-dev:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 configure uuid-dev:amd64 2.25.2-6 <none>
2018-04-30 04:29:15 status unpacked uuid-dev:amd64 2.25.2-6
2018-04-30 04:29:15 status half-configured uuid-dev:amd64 2.25.2-6
2018-04-30 04:29:15 status installed uuid-dev:amd64 2.25.2-6
2018-04-30 04:29:15 configure libsctp-dev:amd64 1.0.16+dfsg-2 <none>
2018-04-30 04:29:15 status unpacked libsctp-dev:amd64 1.0.16+dfsg-2
2018-04-30 04:29:15 status half-configured libsctp-dev:amd64 1.0.16+dfsg-2
2018-04-30 04:29:15 status installed libsctp-dev:amd64 1.0.16+dfsg-2
2018-04-30 04:29:15 configure libapr1-dev:amd64 1.5.1-3 <none>
2018-04-30 04:29:15 status unpacked libapr1-dev:amd64 1.5.1-3
2018-04-30 04:29:15 status half-configured libapr1-dev:amd64 1.5.1-3
2018-04-30 04:29:15 status installed libapr1-dev:amd64 1.5.1-3
2018-04-30 04:29:15 configure libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3 <none>
2018-04-30 04:29:15 status unpacked libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:15 status half-configured libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:15 status installed libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:15 configure libexpat1-dev:amd64 2.1.0-6+deb8u4 <none>
2018-04-30 04:29:15 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:15 status half-configured libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:15 status installed libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:15 configure libaprutil1-dev:amd64 1.5.4-1 <none>
2018-04-30 04:29:15 status unpacked libaprutil1-dev:amd64 1.5.4-1
2018-04-30 04:29:15 status half-configured libaprutil1-dev:amd64 1.5.4-1
2018-04-30 04:29:15 status installed libaprutil1-dev:amd64 1.5.4-1
2018-04-30 04:29:15 configure libaprutil1-ldap:amd64 1.5.4-1 <none>
2018-04-30 04:29:15 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2018-04-30 04:29:15 status half-configured libaprutil1-ldap:amd64 1.5.4-1
2018-04-30 04:29:15 status installed libaprutil1-ldap:amd64 1.5.4-1
2018-04-30 04:29:15 configure libnghttp2-14:amd64 1.18.1-1 <none>
2018-04-30 04:29:15 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-04-30 04:29:15 status half-configured libnghttp2-14:amd64 1.18.1-1
2018-04-30 04:29:15 status installed libnghttp2-14:amd64 1.18.1-1
2018-04-30 04:29:15 trigproc libc-bin:amd64 2.19-18+deb8u10 <none>
2018-04-30 04:29:15 status half-configured libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:15 status installed libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:16 startup packages configure
2018-04-30 04:29:38 startup archives unpack
2018-04-30 04:29:39 install libgdbm3:amd64 <none> 1.8.3-13.1
2018-04-30 04:29:39 status half-installed libgdbm3:amd64 1.8.3-13.1
2018-04-30 04:29:39 status unpacked libgdbm3:amd64 1.8.3-13.1
2018-04-30 04:29:39 status unpacked libgdbm3:amd64 1.8.3-13.1
2018-04-30 04:29:39 install libidn11:amd64 <none> 1.29-1+deb8u2
2018-04-30 04:29:39 status half-installed libidn11:amd64 1.29-1+deb8u2
2018-04-30 04:29:39 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-04-30 04:29:39 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-04-30 04:29:39 install perl-modules:all <none> 5.20.2-3+deb8u10
2018-04-30 04:29:39 status half-installed perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:39 status unpacked perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:39 status unpacked perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:39 install perl:amd64 <none> 5.20.2-3+deb8u10
2018-04-30 04:29:39 status half-installed perl:amd64 5.20.2-3+deb8u10
2018-04-30 04:29:39 status unpacked perl:amd64 5.20.2-3+deb8u10
2018-04-30 04:29:39 status unpacked perl:amd64 5.20.2-3+deb8u10
2018-04-30 04:29:39 install libasan1:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:39 status half-installed libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 status unpacked libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 status unpacked libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 install libatomic1:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:39 status half-installed libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 status unpacked libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 status unpacked libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 install libcilkrts5:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:39 status half-installed libcilkrts5:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 status unpacked libcilkrts5:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 status unpacked libcilkrts5:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:39 install libisl10:amd64 <none> 0.12.2-2
2018-04-30 04:29:39 status half-installed libisl10:amd64 0.12.2-2
2018-04-30 04:29:39 status unpacked libisl10:amd64 0.12.2-2
2018-04-30 04:29:39 status unpacked libisl10:amd64 0.12.2-2
2018-04-30 04:29:39 install libcloog-isl4:amd64 <none> 0.18.2-1+b2
2018-04-30 04:29:39 status half-installed libcloog-isl4:amd64 0.18.2-1+b2
2018-04-30 04:29:39 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2018-04-30 04:29:39 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2018-04-30 04:29:39 install libglib2.0-0:amd64 <none> 2.42.1-1+b1
2018-04-30 04:29:39 status half-installed libglib2.0-0:amd64 2.42.1-1+b1
2018-04-30 04:29:39 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2018-04-30 04:29:39 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2018-04-30 04:29:40 install libgomp1:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:40 status half-installed libgomp1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libgomp1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libgomp1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 install libicu52:amd64 <none> 52.1-8+deb8u7
2018-04-30 04:29:40 status half-installed libicu52:amd64 52.1-8+deb8u7
2018-04-30 04:29:40 status unpacked libicu52:amd64 52.1-8+deb8u7
2018-04-30 04:29:40 status unpacked libicu52:amd64 52.1-8+deb8u7
2018-04-30 04:29:40 install libitm1:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:40 status half-installed libitm1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libitm1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libitm1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 install liblsan0:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:40 status half-installed liblsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked liblsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked liblsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 install libmpfr4:amd64 <none> 3.1.2-2
2018-04-30 04:29:40 status half-installed libmpfr4:amd64 3.1.2-2
2018-04-30 04:29:40 status unpacked libmpfr4:amd64 3.1.2-2
2018-04-30 04:29:40 status unpacked libmpfr4:amd64 3.1.2-2
2018-04-30 04:29:40 install libpcrecpp0:amd64 <none> 2:8.35-3.3+deb8u4
2018-04-30 04:29:40 status half-installed libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:40 status unpacked libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:40 status unpacked libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:40 install libquadmath0:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:40 status half-installed libquadmath0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libquadmath0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libquadmath0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 install libtsan0:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:40 status half-installed libtsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libtsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libtsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 install libubsan0:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:40 status half-installed libubsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libubsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 status unpacked libubsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:40 install libmpc3:amd64 <none> 1.0.2-1
2018-04-30 04:29:40 status half-installed libmpc3:amd64 1.0.2-1
2018-04-30 04:29:40 status unpacked libmpc3:amd64 1.0.2-1
2018-04-30 04:29:40 status unpacked libmpc3:amd64 1.0.2-1
2018-04-30 04:29:40 install libpsl0:amd64 <none> 0.5.1-1
2018-04-30 04:29:40 status half-installed libpsl0:amd64 0.5.1-1
2018-04-30 04:29:40 status unpacked libpsl0:amd64 0.5.1-1
2018-04-30 04:29:40 status unpacked libpsl0:amd64 0.5.1-1
2018-04-30 04:29:40 install wget:amd64 <none> 1.16-1+deb8u4
2018-04-30 04:29:40 status half-installed wget:amd64 1.16-1+deb8u4
2018-04-30 04:29:41 status unpacked wget:amd64 1.16-1+deb8u4
2018-04-30 04:29:41 status unpacked wget:amd64 1.16-1+deb8u4
2018-04-30 04:29:41 install bzip2:amd64 <none> 1.0.6-7+b3
2018-04-30 04:29:41 status half-installed bzip2:amd64 1.0.6-7+b3
2018-04-30 04:29:41 status unpacked bzip2:amd64 1.0.6-7+b3
2018-04-30 04:29:41 status unpacked bzip2:amd64 1.0.6-7+b3
2018-04-30 04:29:41 install patch:amd64 <none> 2.7.5-1
2018-04-30 04:29:41 status half-installed patch:amd64 2.7.5-1
2018-04-30 04:29:41 status unpacked patch:amd64 2.7.5-1
2018-04-30 04:29:41 status unpacked patch:amd64 2.7.5-1
2018-04-30 04:29:41 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2+b3
2018-04-30 04:29:41 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-04-30 04:29:41 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-04-30 04:29:41 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-04-30 04:29:41 install binutils:amd64 <none> 2.25-5+deb8u1
2018-04-30 04:29:41 status half-installed binutils:amd64 2.25-5+deb8u1
2018-04-30 04:29:41 status unpacked binutils:amd64 2.25-5+deb8u1
2018-04-30 04:29:41 status unpacked binutils:amd64 2.25-5+deb8u1
2018-04-30 04:29:41 install openssl:amd64 <none> 1.0.1t-1+deb8u8
2018-04-30 04:29:41 status half-installed openssl:amd64 1.0.1t-1+deb8u8
2018-04-30 04:29:41 status unpacked openssl:amd64 1.0.1t-1+deb8u8
2018-04-30 04:29:41 status unpacked openssl:amd64 1.0.1t-1+deb8u8
2018-04-30 04:29:41 install ca-certificates:all <none> 20141019+deb8u3
2018-04-30 04:29:41 status half-installed ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:41 status unpacked ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:41 status unpacked ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:41 install cpp-4.9:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:41 status half-installed cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 status unpacked cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 status unpacked cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 install cpp:amd64 <none> 4:4.9.2-2
2018-04-30 04:29:42 status half-installed cpp:amd64 4:4.9.2-2
2018-04-30 04:29:42 status unpacked cpp:amd64 4:4.9.2-2
2018-04-30 04:29:42 status unpacked cpp:amd64 4:4.9.2-2
2018-04-30 04:29:42 install libtimedate-perl:all <none> 2.3000-2
2018-04-30 04:29:42 status half-installed libtimedate-perl:all 2.3000-2
2018-04-30 04:29:42 status unpacked libtimedate-perl:all 2.3000-2
2018-04-30 04:29:42 status unpacked libtimedate-perl:all 2.3000-2
2018-04-30 04:29:42 install libdpkg-perl:all <none> 1.17.27
2018-04-30 04:29:42 status half-installed libdpkg-perl:all 1.17.27
2018-04-30 04:29:42 status unpacked libdpkg-perl:all 1.17.27
2018-04-30 04:29:42 status unpacked libdpkg-perl:all 1.17.27
2018-04-30 04:29:42 install make:amd64 <none> 4.0-8.1
2018-04-30 04:29:42 status half-installed make:amd64 4.0-8.1
2018-04-30 04:29:42 status unpacked make:amd64 4.0-8.1
2018-04-30 04:29:42 status unpacked make:amd64 4.0-8.1
2018-04-30 04:29:42 install dpkg-dev:all <none> 1.17.27
2018-04-30 04:29:42 status half-installed dpkg-dev:all 1.17.27
2018-04-30 04:29:42 status unpacked dpkg-dev:all 1.17.27
2018-04-30 04:29:42 status unpacked dpkg-dev:all 1.17.27
2018-04-30 04:29:42 install libgcc-4.9-dev:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:42 status half-installed libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 status unpacked libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 status unpacked libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 install gcc-4.9:amd64 <none> 4.9.2-10+deb8u1
2018-04-30 04:29:42 status half-installed gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 status unpacked gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:42 status unpacked gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:43 install gcc:amd64 <none> 4:4.9.2-2
2018-04-30 04:29:43 status half-installed gcc:amd64 4:4.9.2-2
2018-04-30 04:29:43 status unpacked gcc:amd64 4:4.9.2-2
2018-04-30 04:29:43 status unpacked gcc:amd64 4:4.9.2-2
2018-04-30 04:29:43 install libtinfo-dev:amd64 <none> 5.9+20140913-1+deb8u2
2018-04-30 04:29:43 status half-installed libtinfo-dev:amd64 5.9+20140913-1+deb8u2
2018-04-30 04:29:43 status unpacked libtinfo-dev:amd64 5.9+20140913-1+deb8u2
